12-20 04:43:53.690 I/flutter (24613): [AgusDemo] Starting initialization...
12-20 04:43:53.691 I/flutter (24613): [AgusDemo] Initializing MWM storage...
12-20 04:43:55.095 I/flutter (24613): [AgusDemo] Extracting World.mwm...
12-20 04:43:56.872 I/flutter (24613): [AgusDemo] Extracting WorldCoasts.mwm...
12-20 04:43:56.881 I/flutter (24613): [AgusDemo] Extracting Gibraltar.mwm...
12-20 04:43:58.309 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.312 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.312 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.313 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.316 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.316 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.317 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.320 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.320 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.323 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.323 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.327 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.327 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.329 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.330 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.335 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.336 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.336 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.337 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.339 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.344 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.344 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.345 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.348 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.348 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.351 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
